Transaction,Item,date_time
99,Pastry,31-10-2016 09:56
99,Coffee,31-10-2016 09:56
99,Bread,31-10-2016 09:56
100,Bread,31-10-2016 09:58
101,Coffee,31-10-2016 10:04
101,Pastry,31-10-2016 10:04
102,Farm House,31-10-2016 10:04
103,Bread,31-10-2016 10:07
104,Coffee,31-10-2016 10:12
104,Coffee,31-10-2016 10:12
104,Medialuna,31-10-2016 10:12
104,Muffin,31-10-2016 10:12
104,Coffee,31-10-2016 10:12
105,Coffee,31-10-2016 10:21
105,Tea,31-10-2016 10:21
105,Cake,31-10-2016 10:21
106,Coffee,31-10-2016 10:24
106,Coffee,31-10-2016 10:24
106,Pastry,31-10-2016 10:24
106,Pastry,31-10-2016 10:24
107,Coffee,31-10-2016 10:27
107,Tea,31-10-2016 10:27
108,Farm House,31-10-2016 10:31
108,Muffin,31-10-2016 10:31
109,Bread,31-10-2016 10:35
109,Muffin,31-10-2016 10:35
109,Pastry,31-10-2016 10:35
110,Pastry,31-10-2016 10:36
111,Coffee,31-10-2016 10:38
112,Coffee,31-10-2016 10:59
113,Coffee,31-10-2016 11:02
113,Cake,31-10-2016 11:02
114,Farm House,31-10-2016 11:05
115,Bread,31-10-2016 11:08
116,Coffee,31-10-2016 11:11
117,Cookies,31-10-2016 11:13
117,Cake,31-10-2016 11:13
117,Coffee,31-10-2016 11:13
117,My-5 Fruit Shoot,31-10-2016 11:13
118,Cookies,31-10-2016 11:18
118,Cookies,31-10-2016 11:18
118,Tea,31-10-2016 11:18
118,Pastry,31-10-2016 11:18
119,Coffee,31-10-2016 11:25
119,Coffee,31-10-2016 11:25
119,Muffin,31-10-2016 11:25
120,Farm House,31-10-2016 11:29
121,Coffee,31-10-2016 11:30
121,Bread,31-10-2016 11:30
122,Cookies,31-10-2016 11:37
123,Jam,31-10-2016 11:42
123,Coffee,31-10-2016 11:42
123,Coffee,31-10-2016 11:42
123,Juice,31-10-2016 11:42
124,Coffee,31-10-2016 11:43
124,Soup,31-10-2016 11:43
125,Tea,31-10-2016 11:47
126,Coffee,31-10-2016 11:52
126,Jam,31-10-2016 11:52
127,Farm House,31-10-2016 11:53
128,Tartine,31-10-2016 11:55
128,Coffee,31-10-2016 11:55
128,Tea,31-10-2016 11:55
129,Coffee,31-10-2016 11:59
129,Coffee,31-10-2016 11:59
129,Cake,31-10-2016 11:59
130,Coffee,31-10-2016 12:03
130,Coffee,31-10-2016 12:03
130,Muffin,31-10-2016 12:03
131,Bread,31-10-2016 12:08
131,Coffee,31-10-2016 12:08
132,Tea,31-10-2016 12:14
132,Juice,31-10-2016 12:14
132,Pick and Mix Bowls,31-10-2016 12:14
132,Cookies,31-10-2016 12:14
133,Hearty & Seasonal,31-10-2016 12:16
133,Soup,31-10-2016 12:16
134,Hearty & Seasonal,31-10-2016 12:19
134,Tea,31-10-2016 12:19
134,Farm House,31-10-2016 12:19
135,Bread,31-10-2016 12:20
136,Tea,31-10-2016 12:27
136,Soup,31-10-2016 12:27
137,Farm House,31-10-2016 12:37
138,Soup,31-10-2016 12:43
138,Hearty & Seasonal,31-10-2016 12:43
138,Coffee,31-10-2016 12:43
139,Bread,31-10-2016 12:50
139,Muffin,31-10-2016 12:50
139,Hearty & Seasonal,31-10-2016 12:50
140,Coffee,31-10-2016 12:53
140,Coffee,31-10-2016 12:53
140,Cookies,31-10-2016 12:53
141,Bread,31-10-2016 12:54
142,Tea,31-10-2016 12:56
142,Muffin,31-10-2016 12:56
143,Tea,31-10-2016 12:59
144,Soup,31-10-2016 13:02
144,Hearty & Seasonal,31-10-2016 13:02
145,Coffee,31-10-2016 13:05
145,Tea,31-10-2016 13:05
145,Focaccia,31-10-2016 13:05
146,Sandwich,31-10-2016 13:08
147,Tartine,31-10-2016 13:09
147,Coffee,31-10-2016 13:09
148,Fudge,31-10-2016 13:21
148,Coffee,31-10-2016 13:21
148,Coffee,31-10-2016 13:21
149,Coffee,31-10-2016 13:26
150,Bread,31-10-2016 13:31
151,Coke,31-10-2016 13:50
151,Soup,31-10-2016 13:50
152,Muffin,31-10-2016 13:51
153,Tea,31-10-2016 13:55
153,Coffee,31-10-2016 13:55
153,Cookies,31-10-2016 13:55
153,Muffin,31-10-2016 13:55
154,Mighty Protein,31-10-2016 14:00
154,Hearty & Seasonal,31-10-2016 14:00
154,Coffee,31-10-2016 14:00
154,Coke,31-10-2016 14:00
155,Tea,31-10-2016 14:01
155,Muffin,31-10-2016 14:01
155,Sandwich,31-10-2016 14:01
156,Coffee,31-10-2016 14:04
156,Muffin,31-10-2016 14:04
157,Coffee,31-10-2016 14:05
157,Bread,31-10-2016 14:05
158,Coffee,31-10-2016 14:20
158,Muffin,31-10-2016 14:20
159,Bread,31-10-2016 14:22
159,Hot chocolate,31-10-2016 14:22
159,Cookies,31-10-2016 14:22
160,Mineral water,31-10-2016 14:35
160,Muffin,31-10-2016 14:35
161,Tea,31-10-2016 14:42
162,Muffin,31-10-2016 14:44
163,Coffee,31-10-2016 14:47
163,Juice,31-10-2016 14:47
164,Coffee,31-10-2016 14:47
164,Muffin,31-10-2016 14:47
165,Tea,31-10-2016 14:48
166,Coffee,31-10-2016 14:49
166,Muffin,31-10-2016 14:49
167,Sandwich,31-10-2016 14:50
167,Hearty & Seasonal,31-10-2016 14:50
167,Bread,31-10-2016 14:50
167,Mineral water,31-10-2016 14:50
168,Tea,31-10-2016 14:56
168,Coffee,31-10-2016 14:56
169,Mineral water,31-10-2016 15:05
170,Coffee,31-10-2016 15:16
171,Soup,31-10-2016 15:20
171,Tea,31-10-2016 15:20
172,Bread,31-10-2016 17:06
172,Coffee,31-10-2016 17:06
173,Bread,31-10-2016 17:08
173,Muffin,31-10-2016 17:08
174,Coffee,31-10-2016 17:40
175,Bread,31-10-2016 17:49
176,Cookies,31-10-2016 18:22
176,Coffee,31-10-2016 18:22
178,Coffee,01-11-2016 07:51
178,Pastry,01-11-2016 07:51
179,Coffee,01-11-2016 08:20
179,Pastry,01-11-2016 08:20
180,Jam,01-11-2016 08:22
180,Tea,01-11-2016 08:22
181,Tea,01-11-2016 08:45
181,Tea,01-11-2016 08:45
182,Pastry,01-11-2016 09:07
182,Pastry,01-11-2016 09:07
182,Ella's Kitchen Pouches,01-11-2016 09:07
183,Pastry,01-11-2016 09:09
184,Farm House,01-11-2016 09:26
184,Tea,01-11-2016 09:26
185,Tea,01-11-2016 09:29
185,Victorian Sponge,01-11-2016 09:29
186,Tea,01-11-2016 09:43
186,Pastry,01-11-2016 09:43
187,Bread,01-11-2016 10:02
188,Coffee,01-11-2016 10:04
189,Bread,01-11-2016 10:29
189,Coffee,01-11-2016 10:29
190,Coffee,01-11-2016 10:34
190,Pastry,01-11-2016 10:34
190,Pastry,01-11-2016 10:34
191,Soup,01-11-2016 10:50
191,Tea,01-11-2016 10:50
192,Bread,01-11-2016 10:56
193,Coffee,01-11-2016 11:00
194,Bread,01-11-2016 11:04
194,Bread,01-11-2016 11:04
195,Bread,01-11-2016 11:06
195,Scandinavian,01-11-2016 11:06
196,Bread,01-11-2016 11:08
196,Cake,01-11-2016 11:08
196,Cookies,01-11-2016 11:08
197,Coffee,01-11-2016 11:10
197,Coffee,01-11-2016 11:10
197,Tea,01-11-2016 11:10
198,Coffee,01-11-2016 11:11
198,Cookies,01-11-2016 11:11
199,Coffee,01-11-2016 11:13
200,Bread,01-11-2016 11:16
201,Coffee,01-11-2016 11:22
201,Pastry,01-11-2016 11:22
202,Coffee,01-11-2016 11:23
202,Coffee,01-11-2016 11:23
203,Coffee,01-11-2016 11:25
204,Scandinavian,01-11-2016 11:30
204,Bread,01-11-2016 11:30
205,Coffee,01-11-2016 11:49
205,Coffee,01-11-2016 11:49
205,Pastry,01-11-2016 11:49
206,Scandinavian,01-11-2016 11:54
206,Coffee,01-11-2016 11:54
206,Pastry,01-11-2016 11:54
207,Hearty & Seasonal,01-11-2016 12:03
207,Coffee,01-11-2016 12:03
207,Muffin,01-11-2016 12:03
208,Bread,01-11-2016 12:10
209,Coffee,01-11-2016 12:10
210,Scandinavian,01-11-2016 12:12
211,Soup,01-11-2016 12:15
211,Coffee,01-11-2016 12:15
212,Coffee,01-11-2016 12:20
212,Cookies,01-11-2016 12:20
212,Tartine,01-11-2016 12:20
213,Bread,01-11-2016 12:22
214,Bread,01-11-2016 12:26
214,Tea,01-11-2016 12:26
214,Tea,01-11-2016 12:26
215,Pastry,01-11-2016 12:30
215,Coffee,01-11-2016 12:30
216,Tartine,01-11-2016 12:31
216,Coffee,01-11-2016 12:31
217,Bread,01-11-2016 12:33
217,Cookies,01-11-2016 12:33
218,Sandwich,01-11-2016 12:37
219,Tartine,01-11-2016 12:41
220,Bread,01-11-2016 12:49
220,Pastry,01-11-2016 12:49
221,Bread,01-11-2016 12:53
221,Scandinavian,01-11-2016 12:53
222,Scandinavian,01-11-2016 13:08
223,Alfajores,01-11-2016 13:11
223,Coffee,01-11-2016 13:11
224,Coffee,01-11-2016 13:15
225,Coffee,01-11-2016 13:19
225,Coke,01-11-2016 13:19
225,Soup,01-11-2016 13:19
226,Cake,01-11-2016 13:21
227,Tea,01-11-2016 13:31
227,Sandwich,01-11-2016 13:31
227,Soup,01-11-2016 13:31
228,Coffee,01-11-2016 13:33
229,Hearty & Seasonal,01-11-2016 13:37
229,Bread,01-11-2016 13:37
230,Alfajores,01-11-2016 13:41
231,Cake,01-11-2016 13:45
232,Tea,01-11-2016 14:10
232,Tea,01-11-2016 14:10
232,Bread,01-11-2016 14:10
233,Coffee,01-11-2016 14:13
233,Tea,01-11-2016 14:13
233,Bread,01-11-2016 14:13
233,Soup,01-11-2016 14:13
234,Coffee,01-11-2016 14:14
234,Coffee,01-11-2016 14:14
235,Scandinavian,01-11-2016 14:18
236,Fudge,01-11-2016 14:22
237,Coffee,01-11-2016 14:25
237,Sandwich,01-11-2016 14:25
238,Tea,01-11-2016 14:37
238,Bread,01-11-2016 14:37
238,Cookies,01-11-2016 14:37
238,Pastry,01-11-2016 14:37
239,Muffin,01-11-2016 14:37
240,Scandinavian,01-11-2016 14:42
241,Jam,01-11-2016 14:54
241,Tea,01-11-2016 14:54
242,Juice,01-11-2016 15:02
242,Tea,01-11-2016 15:02
242,Alfajores,01-11-2016 15:02
243,Cake,01-11-2016 15:18
243,Muffin,01-11-2016 15:18
243,Coffee,01-11-2016 15:18
243,Soup,01-11-2016 15:18
244,Hot chocolate,01-11-2016 15:33
244,Cake,01-11-2016 15:33
244,Coffee,01-11-2016 15:33
245,Cake,01-11-2016 15:37
245,Cookies,01-11-2016 15:37
246,Tea,01-11-2016 15:48
246,Bread,01-11-2016 15:48
247,Alfajores,01-11-2016 16:07
247,Coffee,01-11-2016 16:07
247,Coffee,01-11-2016 16:07
247,Coffee,01-11-2016 16:07
247,Juice,01-11-2016 16:07
248,Coffee,01-11-2016 16:08
248,Tea,01-11-2016 16:08
248,Soup,01-11-2016 16:08
249,Hot chocolate,01-11-2016 16:10
250,Cookies,01-11-2016 16:10
251,Coffee,01-11-2016 16:26
251,Medialuna,01-11-2016 16:26
252,Bread,01-11-2016 16:28
252,Eggs,01-11-2016 16:28
253,Scandinavian,01-11-2016 17:46
254,Medialuna,01-11-2016 18:43
255,Coffee,02-11-2016 08:02
255,Coffee,02-11-2016 08:02
255,Pastry,02-11-2016 08:02
256,Coffee,02-11-2016 08:05
256,Bread,02-11-2016 08:05
257,Bread,02-11-2016 08:07
257,Coffee,02-11-2016 08:07
257,Pastry,02-11-2016 08:07
258,Coffee,02-11-2016 08:08
258,Pastry,02-11-2016 08:08
259,Pastry,02-11-2016 08:11
260,Coffee,02-11-2016 08:12
261,Coffee,02-11-2016 08:12
262,Coffee,02-11-2016 08:29
262,Hot chocolate,02-11-2016 08:29
262,Pastry,02-11-2016 08:29
263,Coke,02-11-2016 08:53
264,Coffee,02-11-2016 09:02
264,Jam,02-11-2016 09:02
265,Tea,02-11-2016 09:03
266,Bread,02-11-2016 09:05
266,Pastry,02-11-2016 09:05
267,Coffee,02-11-2016 09:18
267,Alfajores,02-11-2016 09:18
267,Farm House,02-11-2016 09:18
268,Tea,02-11-2016 09:22
268,Pastry,02-11-2016 09:22
269,Bread,02-11-2016 09:25
270,Coffee,02-11-2016 09:27
270,Jam,02-11-2016 09:27
271,Coffee,02-11-2016 09:33
271,Tea,02-11-2016 09:33
271,Coffee,02-11-2016 09:33
271,Pastry,02-11-2016 09:33
272,Farm House,02-11-2016 09:35
274,Coffee,02-11-2016 09:52
274,Bread,02-11-2016 09:52
274,Pastry,02-11-2016 09:52
275,Farm House,02-11-2016 09:53
276,Coffee,02-11-2016 09:54
276,Coffee,02-11-2016 09:54
276,Pastry,02-11-2016 09:54
277,Farm House,02-11-2016 10:12
278,Coffee,02-11-2016 10:13
278,Pastry,02-11-2016 10:13
279,Coffee,02-11-2016 10:15
280,Coffee,02-11-2016 10:17
280,Pastry,02-11-2016 10:17
281,Bread,02-11-2016 10:29
281,Bread,02-11-2016 10:29
282,Bread,02-11-2016 10:37
282,Coffee,02-11-2016 10:37
282,Pastry,02-11-2016 10:37
283,Pastry,02-11-2016 10:44
283,Coffee,02-11-2016 10:44
284,Coffee,02-11-2016 10:48
284,Farm House,02-11-2016 10:48
285,Farm House,02-11-2016 10:52
285,Farm House,02-11-2016 10:52
285,Pastry,02-11-2016 10:52
286,Bread,02-11-2016 10:53
286,Juice,02-11-2016 10:53
286,Alfajores,02-11-2016 10:53
287,Coffee,02-11-2016 10:56
287,Pastry,02-11-2016 10:56
288,Bread,02-11-2016 10:59
288,Alfajores,02-11-2016 10:59
289,Bread,02-11-2016 11:00
290,Coffee,02-11-2016 11:03
290,Cookies,02-11-2016 11:03
291,Coffee,02-11-2016 11:04
292,Cookies,02-11-2016 11:15
293,Hearty & Seasonal,02-11-2016 11:29
294,Coffee,02-11-2016 11:35
295,Jam,02-11-2016 11:39
295,Tartine,02-11-2016 11:39
295,Bread,02-11-2016 11:39
296,Farm House,02-11-2016 11:58
296,Scandinavian,02-11-2016 11:58
297,Hearty & Seasonal,02-11-2016 12:06
297,Coffee,02-11-2016 12:06
297,Muffin,02-11-2016 12:06
297,Scandinavian,02-11-2016 12:06
298,Tartine,02-11-2016 12:11
298,Pick and Mix Bowls,02-11-2016 12:11
298,Coffee,02-11-2016 12:11
298,Coke,02-11-2016 12:11
299,Bread,02-11-2016 12:14
300,Scandinavian,02-11-2016 12:18
300,Farm House,02-11-2016 12:18
300,Alfajores,02-11-2016 12:18
300,Coffee,02-11-2016 12:18
300,Coffee,02-11-2016 12:18
301,Juice,02-11-2016 12:24
301,Mineral water,02-11-2016 12:24
301,Soup,02-11-2016 12:24
302,Soup,02-11-2016 12:27
302,Tea,02-11-2016 12:27
303,Juice,02-11-2016 12:30
303,Tea,02-11-2016 12:30
303,Cookies,02-11-2016 12:30
303,Soup,02-11-2016 12:30
304,Hearty & Seasonal,02-11-2016 12:33
304,Tea,02-11-2016 12:33
305,Fudge,02-11-2016 12:35
306,Coffee,02-11-2016 12:39
306,Mineral water,02-11-2016 12:39
306,Juice,02-11-2016 12:39
306,Soup,02-11-2016 12:39
307,Hearty & Seasonal,02-11-2016 12:52
308,Hearty & Seasonal,02-11-2016 12:54
308,Smoothies,02-11-2016 12:54
309,Hearty & Seasonal,02-11-2016 12:56
309,Tea,02-11-2016 12:56
310,Coffee,02-11-2016 13:02
310,Sandwich,02-11-2016 13:02
310,Sandwich,02-11-2016 13:02
311,Cookies,02-11-2016 13:09
311,Farm House,02-11-2016 13:09
312,Soup,02-11-2016 13:11
312,Tea,02-11-2016 13:11
312,Juice,02-11-2016 13:11
313,Soup,02-11-2016 13:12
314,Coffee,02-11-2016 13:16
316,Bread,02-11-2016 13:23
317,Cookies,02-11-2016 13:42
317,Tea,02-11-2016 13:42
318,Soup,02-11-2016 13:46
318,Hearty & Seasonal,02-11-2016 13:46
318,Bread,02-11-2016 13:46
319,Coffee,02-11-2016 13:50
320,Coffee,02-11-2016 13:58
321,Coffee,02-11-2016 14:00
321,Tea,02-11-2016 14:00
322,Bread,02-11-2016 14:01
323,Tea,02-11-2016 14:05
324,Coffee,02-11-2016 14:11
324,Tea,02-11-2016 14:11
325,Coffee,02-11-2016 14:11
326,Fudge,02-11-2016 14:34
327,Tea,02-11-2016 15:03
328,Soup,02-11-2016 15:25
328,Tea,02-11-2016 15:25
329,Juice,02-11-2016 15:33
330,Alfajores,02-11-2016 15:46
331,Bread,02-11-2016 15:57
332,Coffee,02-11-2016 16:25
332,Alfajores,02-11-2016 16:25
333,Juice,02-11-2016 16:54
333,Alfajores,02-11-2016 16:54
333,Cookies,02-11-2016 16:54
333,Pick and Mix Bowls,02-11-2016 16:54
333,Mineral water,02-11-2016 16:54
334,Coffee,02-11-2016 17:01
334,Alfajores,02-11-2016 17:01
335,Fudge,02-11-2016 17:41
336,Mighty Protein,02-11-2016 18:08
336,Juice,02-11-2016 18:08
337,Coffee,02-11-2016 18:13
337,Mineral water,02-11-2016 18:13
337,Alfajores,02-11-2016 18:13
338,Mighty Protein,02-11-2016 18:19
338,Coffee,02-11-2016 18:19
339,Alfajores,02-11-2016 18:40
340,Coffee,03-11-2016 07:46
340,Bread,03-11-2016 07:46
341,Medialuna,03-11-2016 07:50
341,Medialuna,03-11-2016 07:50
342,Medialuna,03-11-2016 08:01
342,Bread,03-11-2016 08:01
343,Farm House,03-11-2016 08:07
344,Coffee,03-11-2016 08:08
344,Pastry,03-11-2016 08:08
345,Farm House,03-11-2016 08:09
346,Coffee,03-11-2016 08:15
346,Coffee,03-11-2016 08:15
346,Pastry,03-11-2016 08:15
346,Pastry,03-11-2016 08:15
346,Coffee,03-11-2016 08:15
347,Medialuna,03-11-2016 08:40
348,Bread,03-11-2016 08:49
348,Tea,03-11-2016 08:49
348,Sandwich,03-11-2016 08:49
349,Bread,03-11-2016 08:54
350,Jam,03-11-2016 09:00
350,Coffee,03-11-2016 09:00
350,Farm House,03-11-2016 09:00
351,Focaccia,03-11-2016 09:02
352,Bread,03-11-2016 09:06
353,Tartine,03-11-2016 09:08
353,Pastry,03-11-2016 09:08
353,Bread,03-11-2016 09:08
353,My-5 Fruit Shoot,03-11-2016 09:08
354,Farm House,03-11-2016 09:13
354,Pastry,03-11-2016 09:13
355,Bread,03-11-2016 09:19
355,Pastry,03-11-2016 09:19
356,Pastry,03-11-2016 09:24
356,Bread,03-11-2016 09:24
357,Jam,03-11-2016 09:31
357,Coffee,03-11-2016 09:31
358,Farm House,03-11-2016 09:34
359,Bread,03-11-2016 09:34
359,Pastry,03-11-2016 09:34
360,Coffee,03-11-2016 09:44
360,Tea,03-11-2016 09:44
360,Bread,03-11-2016 09:44
361,Jam,03-11-2016 09:45
363,Pastry,03-11-2016 09:57
363,Medialuna,03-11-2016 09:57
363,Medialuna,03-11-2016 09:57
364,Coffee,03-11-2016 09:59
365,Tea,03-11-2016 10:01
366,Bread,03-11-2016 10:04
367,Bread,03-11-2016 10:10
367,Pastry,03-11-2016 10:10
368,Pastry,03-11-2016 10:13
369,Farm House,03-11-2016 10:26
370,Tea,03-11-2016 10:27
371,Coffee,03-11-2016 10:39
371,Brownie,03-11-2016 10:39
371,Alfajores,03-11-2016 10:39
371,Fudge,03-11-2016 10:39
372,Bread,03-11-2016 10:48
372,Fudge,03-11-2016 10:48
372,Cookies,03-11-2016 10:48
373,Coffee,03-11-2016 11:03
374,Bread,03-11-2016 11:05
375,Coffee,03-11-2016 11:15
375,Coffee,03-11-2016 11:15
375,Jam,03-11-2016 11:15
375,Pastry,03-11-2016 11:15
376,Soup,03-11-2016 11:20
376,Coffee,03-11-2016 11:20
377,Smoothies,03-11-2016 11:23
377,Soup,03-11-2016 11:23
377,Hearty & Seasonal,03-11-2016 11:23
377,Pastry,03-11-2016 11:23
378,Pastry,03-11-2016 11:31
378,Bread,03-11-2016 11:31
379,Pastry,03-11-2016 11:47
379,Medialuna,03-11-2016 11:47
380,Tea,03-11-2016 11:51
380,Coffee,03-11-2016 11:51
381,Bread,03-11-2016 11:53
381,Cookies,03-11-2016 11:53
382,Coffee,03-11-2016 12:01
382,Coffee,03-11-2016 12:01
382,Bread,03-11-2016 12:01
382,Hearty & Seasonal,03-11-2016 12:01
