Invoice ID,Gender,Product line,Quantity,Date
877-22-3308,Male,Health and beauty,10,3/13/2019
838-78-4295,Female,Health and beauty,2,2/10/2019
109-28-2512,Female,Fashion accessories,6,1/7/2019
232-11-3025,Male,Sports and travel,10,1/24/2019
382-03-4532,Female,Health and beauty,1,2/2/2019
393-65-2792,Male,Food and beverages,10,1/6/2019
796-12-2025,Male,Fashion accessories,10,2/11/2019
510-95-6347,Female,Food and beverages,3,3/5/2019
841-35-6630,Female,Electronic accessories,6,3/9/2019
287-21-9091,Male,Home and lifestyle,9,1/22/2019
732-94-0499,Female,Electronic accessories,10,1/13/2019
263-10-3913,Male,Fashion accessories,9,1/9/2019
381-20-0914,Female,Fashion accessories,9,1/12/2019
829-49-1914,Female,Food and beverages,10,3/5/2019
756-01-7507,Female,Health and beauty,5,1/22/2019
870-72-4431,Female,Health and beauty,6,1/21/2019
847-38-7188,Female,Food and beverages,3,1/26/2019
480-63-2856,Male,Food and beverages,8,1/23/2019
787-56-0757,Female,Food and beverages,4,2/23/2019
360-39-5055,Male,Sports and travel,5,3/9/2019
730-50-9884,Female,Sports and travel,7,3/5/2019
362-58-8315,Male,Fashion accessories,5,3/25/2019
633-44-8566,Male,Food and beverages,7,3/27/2019
504-35-8843,Male,Sports and travel,1,1/2/2019
318-68-5053,Female,Health and beauty,6,2/27/2019
565-80-5980,Female,Home and lifestyle,4,1/23/2019
225-32-0908,Female,Sports and travel,10,1/26/2019
873-51-0671,Female,Sports and travel,7,1/10/2019
152-08-9985,Male,Health and beauty,9,3/12/2019
512-91-0811,Male,Health and beauty,1,2/6/2019
594-34-4444,Male,Electronic accessories,1,3/8/2019
766-85-7061,Male,Health and beauty,10,3/29/2019
871-39-9221,Female,Electronic accessories,6,2/9/2019
865-92-6136,Male,Food and beverages,3,3/23/2019
733-01-9107,Male,Home and lifestyle,6,3/5/2019
163-56-7055,Male,Fashion accessories,1,3/26/2019
189-98-2939,Male,Fashion accessories,9,3/1/2019
551-21-3069,Female,Electronic accessories,9,2/1/2019
212-62-1842,Male,Food and beverages,6,3/28/2019
716-39-1409,Male,Health and beauty,7,3/19/2019
704-48-3927,Male,Electronic accessories,10,1/12/2019
628-34-3388,Male,Fashion accessories,6,1/5/2019
630-74-5166,Male,Sports and travel,6,3/22/2019
588-01-7461,Female,Food and beverages,9,3/24/2019
861-77-0145,Male,Electronic accessories,10,3/3/2019
479-26-8945,Female,Sports and travel,2,2/5/2019
210-67-5886,Female,Health and beauty,3,2/5/2019
227-78-1148,Female,Fashion accessories,7,2/15/2019
645-44-1170,Male,Home and lifestyle,9,1/19/2019
237-01-6122,Female,Home and lifestyle,9,2/1/2019
225-98-1496,Female,Fashion accessories,3,3/2/2019
291-32-1427,Male,Fashion accessories,5,3/5/2019
659-65-8956,Male,Fashion accessories,1,1/16/2019
642-32-2990,Female,Food and beverages,10,2/2/2019
378-24-2715,Male,Home and lifestyle,2,1/20/2019
638-60-7125,Female,Electronic accessories,8,2/14/2019
659-36-1684,Male,Sports and travel,7,1/12/2019
219-22-9386,Male,Sports and travel,9,3/9/2019
336-78-2147,Male,Home and lifestyle,8,3/13/2019
268-27-6179,Female,Fashion accessories,8,3/9/2019
668-90-8900,Female,Home and lifestyle,7,3/10/2019
870-54-3162,Female,Sports and travel,5,1/27/2019
189-08-9157,Female,Fashion accessories,9,1/8/2019
663-86-9076,Female,Food and beverages,8,1/8/2019
549-84-7482,Female,Sports and travel,9,2/8/2019
191-10-6171,Female,Fashion accessories,7,1/25/2019
802-70-5316,Female,Sports and travel,6,3/6/2019
695-51-0018,Female,Sports and travel,4,2/10/2019
590-83-4591,Male,Electronic accessories,6,2/17/2019
483-71-1164,Female,Health and beauty,6,3/8/2019
597-78-7908,Male,Fashion accessories,3,2/18/2019
700-81-1757,Female,Electronic accessories,5,1/18/2019
354-39-5160,Female,Home and lifestyle,6,2/18/2019
241-72-9525,Male,Sports and travel,10,2/16/2019
575-30-8091,Male,Sports and travel,8,3/16/2019
731-81-9469,Female,Sports and travel,10,1/23/2019
280-17-4359,Male,Health and beauty,10,1/25/2019
338-65-2210,Female,Health and beauty,10,2/5/2019
488-25-4221,Female,Food and beverages,1,2/22/2019
239-10-7476,Female,Home and lifestyle,6,1/21/2019
458-41-1477,Female,Health and beauty,6,3/8/2019
685-64-1609,Female,Fashion accessories,10,2/10/2019
568-90-5112,Male,Health and beauty,4,3/19/2019
262-47-2794,Male,Home and lifestyle,8,3/6/2019
238-49-0436,Male,Health and beauty,8,3/27/2019
608-96-3517,Female,Fashion accessories,4,3/23/2019
584-86-7256,Male,Sports and travel,7,3/11/2019
746-94-0204,Male,Fashion accessories,9,1/29/2019
214-17-6927,Female,Food and beverages,6,2/7/2019
400-89-4171,Female,Sports and travel,8,1/28/2019
782-95-9291,Male,Food and beverages,5,2/20/2019
279-74-2924,Male,Electronic accessories,1,1/4/2019
307-85-2293,Male,Home and lifestyle,5,3/7/2019
743-04-1105,Male,Health and beauty,9,3/30/2019
423-57-2993,Male,Sports and travel,6,3/27/2019
894-41-5205,Female,Food and beverages,8,1/19/2019
275-28-0149,Male,Sports and travel,1,2/25/2019
101-17-6199,Male,Food and beverages,7,3/13/2019
423-80-0988,Male,Sports and travel,2,1/30/2019
548-46-9322,Male,Food and beverages,10,2/20/2019
505-02-0892,Male,Health and beauty,8,2/25/2019
234-65-2137,Male,Home and lifestyle,10,1/16/2019
687-47-8271,Male,Fashion accessories,10,2/8/2019
796-32-9050,Male,Food and beverages,6,1/19/2019
105-31-1824,Male,Sports and travel,7,2/1/2019
249-42-3782,Male,Health and beauty,5,1/3/2019
316-55-4634,Male,Food and beverages,5,1/26/2019
733-33-4967,Male,Electronic accessories,8,3/3/2019
608-27-6295,Male,Electronic accessories,6,1/19/2019
414-12-7047,Male,Food and beverages,8,1/18/2019
827-26-2100,Male,Home and lifestyle,9,3/21/2019
175-54-2529,Male,Food and beverages,8,3/3/2019
139-52-2867,Female,Fashion accessories,7,2/13/2019
407-63-8975,Male,Food and beverages,6,3/23/2019
342-65-4817,Male,Health and beauty,3,1/28/2019
130-98-8941,Male,Fashion accessories,7,2/9/2019
434-83-9547,Male,Food and beverages,8,1/23/2019
851-28-6367,Male,Sports and travel,10,3/23/2019
824-88-3614,Male,Health and beauty,8,1/25/2019
586-25-0848,Female,Sports and travel,7,3/4/2019
895-66-0685,Male,Food and beverages,3,3/5/2019
305-14-0245,Female,Home and lifestyle,8,3/3/2019
732-04-5373,Male,Home and lifestyle,4,2/8/2019
400-60-7251,Male,Home and lifestyle,1,2/10/2019
593-65-1552,Female,Home and lifestyle,4,1/28/2019
284-34-9626,Female,Home and lifestyle,3,2/11/2019
437-58-8131,Female,Fashion accessories,2,1/15/2019
286-43-6208,Female,Food and beverages,9,3/16/2019
641-43-2399,Male,Home and lifestyle,4,1/26/2019
831-07-6050,Male,Electronic accessories,5,3/19/2019
556-86-3144,Female,Fashion accessories,1,1/13/2019
848-24-9445,Male,Health and beauty,2,3/26/2019
856-22-8149,Female,Home and lifestyle,1,3/23/2019
699-01-4164,Male,Health and beauty,4,3/12/2019
420-11-4919,Female,Food and beverages,5,2/17/2019
606-80-4905,Female,Sports and travel,6,1/29/2019
542-41-0513,Female,Electronic accessories,4,3/15/2019
426-39-2418,Male,Electronic accessories,7,1/14/2019
875-46-5808,Male,Health and beauty,10,2/6/2019
394-43-4238,Male,Home and lifestyle,5,2/15/2019
749-24-1565,Female,Health and beauty,9,1/3/2019
672-51-8681,Female,Electronic accessories,9,1/4/2019
263-87-5680,Female,Home and lifestyle,10,3/18/2019
573-58-9734,Female,Fashion accessories,3,3/28/2019
817-69-8206,Female,Electronic accessories,9,3/2/2019
888-02-0338,Male,Electronic accessories,9,1/25/2019
677-11-0152,Female,Food and beverages,9,1/16/2019
142-63-6033,Male,Home and lifestyle,5,3/20/2019
656-16-1063,Male,Sports and travel,3,1/4/2019
891-58-8335,Female,Sports and travel,7,3/11/2019
802-43-8934,Male,Home and lifestyle,1,3/22/2019
560-30-5617,Female,Sports and travel,5,3/24/2019
319-74-2561,Female,Electronic accessories,3,2/21/2019
549-03-9315,Male,Fashion accessories,8,2/12/2019
790-29-1172,Female,Food and beverages,3,3/10/2019
239-36-3640,Male,Electronic accessories,6,1/31/2019
468-01-2051,Male,Food and beverages,7,3/6/2019
389-25-3394,Male,Electronic accessories,5,2/17/2019
279-62-1445,Female,Fashion accessories,1,2/21/2019
213-72-6612,Male,Food and beverages,2,3/20/2019
746-68-6593,Female,Sports and travel,2,1/11/2019
836-82-5858,Male,Health and beauty,9,1/26/2019
583-72-1480,Male,Electronic accessories,4,1/31/2019
466-61-5506,Female,Electronic accessories,6,2/26/2019
721-86-6247,Female,Home and lifestyle,8,3/11/2019
289-65-5721,Female,Fashion accessories,2,1/26/2019
545-46-3100,Female,Electronic accessories,3,3/12/2019
418-02-5978,Female,Health and beauty,9,2/11/2019
269-04-5750,Male,Fashion accessories,4,2/21/2019
157-13-5295,Male,Health and beauty,10,3/9/2019
645-78-8093,Female,Sports and travel,2,1/20/2019
211-30-9270,Male,Health and beauty,5,1/28/2019
755-12-3214,Female,Fashion accessories,5,3/5/2019
346-84-3103,Female,Electronic accessories,5,3/2/2019
478-06-7835,Male,Fashion accessories,1,1/11/2019
540-11-4336,Male,Food and beverages,9,1/11/2019
448-81-5016,Male,Health and beauty,2,3/11/2019
142-72-4741,Male,Fashion accessories,2,2/28/2019
217-58-1179,Male,Home and lifestyle,4,1/5/2019
376-02-8238,Male,Home and lifestyle,8,2/2/2019
530-90-9855,Male,Home and lifestyle,8,1/1/2019
866-05-7563,Female,Electronic accessories,3,2/9/2019
604-70-6476,Male,Fashion accessories,5,1/23/2019
799-71-1548,Male,Electronic accessories,4,1/7/2019
785-13-7708,Male,Food and beverages,7,1/14/2019
845-51-0542,Male,Food and beverages,9,2/2/2019
662-47-5456,Male,Fashion accessories,10,3/17/2019
883-17-4236,Female,Sports and travel,2,3/2/2019
290-68-2984,Male,Home and lifestyle,4,3/16/2019
704-11-6354,Male,Home and lifestyle,8,1/6/2019
110-48-7033,Male,Fashion accessories,4,1/29/2019
366-93-0948,Male,Electronic accessories,1,1/31/2019
729-09-9681,Male,Home and lifestyle,6,2/5/2019
151-16-1484,Male,Electronic accessories,4,2/13/2019
380-94-4661,Male,Electronic accessories,4,2/7/2019
850-41-9669,Female,Electronic accessories,9,3/19/2019
821-07-3596,Female,Fashion accessories,4,3/7/2019
655-85-5130,Female,Fashion accessories,4,3/13/2019
447-15-7839,Female,Sports and travel,10,2/9/2019
154-74-7179,Male,Sports and travel,1,2/26/2019
253-12-6086,Female,Sports and travel,7,3/12/2019
808-65-0703,Male,Home and lifestyle,4,3/14/2019
571-94-0759,Female,Food and beverages,10,1/8/2019
144-51-6085,Male,Home and lifestyle,4,1/5/2019
731-14-2199,Female,Home and lifestyle,10,1/4/2019
783-09-1637,Female,Sports and travel,5,3/6/2019
687-15-1097,Female,Health and beauty,2,1/3/2019
126-54-1082,Female,Home and lifestyle,9,1/7/2019
633-91-1052,Female,Home and lifestyle,2,1/27/2019
477-24-6490,Female,Health and beauty,6,2/26/2019
566-19-5475,Male,Fashion accessories,7,1/7/2019
526-86-8552,Female,Home and lifestyle,10,1/7/2019
376-56-3573,Female,Fashion accessories,4,2/2/2019
537-72-0426,Male,Fashion accessories,10,3/20/2019
828-61-5674,Male,Sports and travel,10,3/20/2019
136-08-6195,Female,Home and lifestyle,8,2/15/2019
523-38-0215,Male,Home and lifestyle,1,3/6/2019
490-29-1201,Female,Sports and travel,1,1/6/2019
667-92-0055,Male,Health and beauty,6,3/4/2019
565-17-3836,Female,Health and beauty,4,3/12/2019
498-41-1961,Male,Health and beauty,5,2/20/2019
593-95-4461,Male,Home and lifestyle,1,3/24/2019
226-71-3580,Female,Sports and travel,9,1/31/2019
283-79-9594,Female,Food and beverages,7,1/25/2019
430-60-3493,Female,Home and lifestyle,7,2/3/2019
139-20-0155,Male,Electronic accessories,10,1/24/2019
558-80-4082,Male,Electronic accessories,7,3/14/2019
278-97-7759,Female,Electronic accessories,1,2/18/2019
316-68-6352,Female,Food and beverages,2,1/21/2019
585-03-5943,Male,Health and beauty,10,3/13/2019
211-05-0490,Female,Electronic accessories,5,3/3/2019
727-75-6477,Male,Electronic accessories,4,3/29/2019
744-02-5987,Male,Home and lifestyle,6,1/10/2019
307-83-9164,Male,Home and lifestyle,4,1/25/2019
779-06-0012,Female,Home and lifestyle,1,1/19/2019
446-47-6729,Male,Fashion accessories,2,1/2/2019
573-10-3877,Male,Health and beauty,1,3/12/2019
735-06-4124,Male,Food and beverages,1,2/25/2019
439-54-7422,Female,Electronic accessories,4,3/18/2019
396-90-2219,Female,Electronic accessories,8,2/23/2019
411-77-0180,Male,Electronic accessories,7,3/26/2019
286-01-5402,Female,Sports and travel,7,3/30/2019
803-17-8013,Female,Home and lifestyle,8,2/17/2019
512-98-1403,Female,Electronic accessories,3,3/21/2019
848-42-2560,Female,Fashion accessories,2,3/5/2019
532-59-7201,Male,Sports and travel,6,1/31/2019
181-94-6432,Male,Fashion accessories,2,2/5/2019
870-76-1733,Female,Food and beverages,5,2/1/2019
423-64-4619,Female,Health and beauty,9,3/7/2019
227-07-4446,Female,Electronic accessories,10,2/10/2019
174-36-3675,Male,Food and beverages,2,2/14/2019
428-83-5800,Female,Food and beverages,3,2/9/2019
603-07-0961,Male,Electronic accessories,5,1/10/2019
704-20-4138,Female,Health and beauty,7,3/11/2019
787-15-1757,Male,Health and beauty,4,2/18/2019
649-11-3678,Female,Food and beverages,9,2/26/2019
622-20-1945,Female,Health and beauty,1,1/18/2019
372-94-8041,Male,Health and beauty,6,2/15/2019
563-91-7120,Female,Fashion accessories,5,3/8/2019
746-54-5508,Male,Home and lifestyle,6,1/17/2019
276-54-0879,Male,Sports and travel,4,3/12/2019
815-11-1168,Male,Food and beverages,5,3/9/2019
719-76-3868,Male,Food and beverages,4,3/12/2019
730-61-8757,Male,Health and beauty,4,1/25/2019
340-66-0321,Male,Electronic accessories,4,3/25/2019
868-81-1752,Male,Home and lifestyle,9,2/7/2019
634-97-8956,Male,Food and beverages,3,2/17/2019
566-71-1091,Male,Fashion accessories,5,2/3/2019
442-48-3607,Male,Food and beverages,2,3/14/2019
835-16-0096,Male,Sports and travel,5,3/24/2019
527-09-6272,Female,Electronic accessories,5,3/21/2019
898-04-2717,Male,Fashion accessories,9,3/19/2019
692-27-8933,Female,Sports and travel,6,2/24/2019
633-09-3463,Female,Electronic accessories,3,3/28/2019
374-17-3652,Female,Food and beverages,9,2/5/2019
378-07-7001,Male,Electronic accessories,3,2/10/2019
433-75-6987,Female,Health and beauty,7,3/5/2019
873-95-4984,Female,Health and beauty,7,2/15/2019
416-13-5917,Female,Food and beverages,5,1/30/2019
150-89-8043,Male,Sports and travel,3,2/14/2019
135-84-8019,Female,Fashion accessories,9,2/27/2019
441-94-7118,Male,Electronic accessories,1,2/4/2019
725-96-3778,Female,Home and lifestyle,8,1/20/2019
531-80-1784,Male,Electronic accessories,7,3/28/2019
400-45-1220,Female,Health and beauty,10,2/27/2019
860-79-0874,Female,Fashion accessories,10,2/15/2019
834-61-8124,Male,Electronic accessories,7,1/26/2019
115-99-4379,Female,Fashion accessories,7,3/14/2019
565-67-6697,Male,Home and lifestyle,9,3/2/2019
320-49-6392,Female,Electronic accessories,1,3/4/2019
889-04-9723,Female,Food and beverages,4,1/7/2019
632-90-0281,Female,Fashion accessories,10,3/8/2019
554-42-2417,Female,Sports and travel,10,1/9/2019
453-63-6187,Male,Electronic accessories,3,3/1/2019
578-80-7669,Male,Sports and travel,1,3/16/2019
612-36-5536,Male,Food and beverages,8,2/17/2019
605-72-4132,Female,Food and beverages,8,2/27/2019
471-41-2823,Male,Food and beverages,2,3/7/2019
462-67-9126,Male,Home and lifestyle,6,1/21/2019
272-27-9238,Female,Food and beverages,4,2/19/2019
834-25-9262,Female,Fashion accessories,4,1/6/2019
122-61-9553,Female,Electronic accessories,9,3/14/2019
468-88-0009,Male,Home and lifestyle,4,3/24/2019
613-59-9758,Female,Sports and travel,10,1/27/2019
254-31-0042,Male,Electronic accessories,9,3/6/2019
201-86-2184,Female,Electronic accessories,7,2/2/2019
261-12-8671,Female,Fashion accessories,2,1/25/2019
730-70-9830,Female,Home and lifestyle,6,3/14/2019
382-25-8917,Male,Fashion accessories,6,1/29/2019
422-29-8786,Female,Home and lifestyle,5,1/3/2019
667-23-5919,Female,Fashion accessories,5,1/14/2019
843-01-4703,Female,Home and lifestyle,9,1/5/2019
743-88-1662,Male,Sports and travel,7,2/22/2019
595-86-2894,Male,Fashion accessories,4,2/6/2019
182-69-8360,Female,Electronic accessories,4,1/30/2019
289-15-7034,Male,Sports and travel,4,1/11/2019
462-78-5240,Female,Electronic accessories,2,3/19/2019
868-52-7573,Female,Food and beverages,5,1/14/2019
153-58-4872,Female,Food and beverages,4,3/1/2019
662-72-2873,Female,Food and beverages,5,1/6/2019
525-88-7307,Male,Sports and travel,1,1/31/2019
689-16-9784,Male,Food and beverages,6,3/11/2019
725-56-0833,Female,Health and beauty,10,2/20/2019
394-41-0748,Female,Fashion accessories,9,1/27/2019
596-42-3999,Male,Food and beverages,7,3/10/2019
541-89-9860,Female,Fashion accessories,3,2/15/2019
173-82-9529,Female,Fashion accessories,10,1/26/2019
563-36-9814,Male,Electronic accessories,1,2/13/2019
308-47-4913,Female,Sports and travel,10,3/9/2019
885-17-6250,Female,Health and beauty,1,3/6/2019
726-27-2396,Female,Health and beauty,5,1/24/2019
316-01-3952,Female,Food and beverages,5,3/13/2019
760-54-1821,Male,Home and lifestyle,9,3/15/2019
793-10-3222,Female,Health and beauty,6,3/5/2019
346-12-3257,Male,Electronic accessories,9,3/4/2019
110-05-6330,Female,Food and beverages,6,3/25/2019
651-61-0874,Male,Home and lifestyle,4,3/12/2019
236-86-3015,Male,Home and lifestyle,1,2/4/2019
831-64-0259,Female,Fashion accessories,5,2/22/2019
587-03-7455,Female,Fashion accessories,7,2/16/2019
882-40-4577,Male,Sports and travel,4,1/19/2019
732-67-5346,Male,Food and beverages,5,1/11/2019
725-32-9708,Female,Fashion accessories,4,1/4/2019
256-08-8343,Female,Home and lifestyle,4,3/4/2019
372-26-1506,Female,Fashion accessories,5,1/28/2019
244-08-0162,Female,Health and beauty,10,1/2/2019
569-71-4390,Male,Sports and travel,2,1/25/2019
132-23-6451,Male,Health and beauty,5,1/4/2019
696-90-2548,Male,Sports and travel,3,3/10/2019
472-15-9636,Male,Home and lifestyle,8,3/22/2019
268-03-6164,Male,Health and beauty,1,1/25/2019
750-57-9686,Female,Home and lifestyle,4,1/8/2019
186-09-3669,Female,Health and beauty,1,1/22/2019
848-07-1692,Female,Health and beauty,2,1/12/2019
745-71-3520,Female,Electronic accessories,7,2/4/2019
266-76-6436,Female,Food and beverages,3,3/28/2019
740-22-2500,Female,Electronic accessories,3,1/23/2019
271-88-8734,Female,Fashion accessories,10,2/8/2019
301-81-8610,Male,Fashion accessories,8,3/19/2019
489-64-4354,Male,Fashion accessories,1,3/9/2019
198-84-7132,Male,Fashion accessories,9,1/2/2019
269-10-8440,Male,Health and beauty,7,1/21/2019
650-98-6268,Female,Food and beverages,3,3/20/2019
741-73-3559,Male,Sports and travel,5,2/27/2019
325-77-6186,Female,Home and lifestyle,10,3/8/2019
286-75-7818,Male,Fashion accessories,2,1/31/2019
574-57-9721,Male,Food and beverages,2,3/8/2019
459-50-7686,Female,Electronic accessories,6,1/13/2019
616-87-0016,Male,Fashion accessories,7,3/9/2019
837-55-7229,Female,Fashion accessories,1,2/22/2019
751-69-0068,Male,Sports and travel,9,3/19/2019
257-73-1380,Male,Sports and travel,4,1/20/2019
345-08-4992,Male,Home and lifestyle,6,3/8/2019
549-96-4200,Male,Food and beverages,4,3/8/2019
810-60-6344,Female,Electronic accessories,8,2/7/2019
450-28-2866,Male,Food and beverages,5,1/15/2019
394-30-3170,Female,Sports and travel,8,3/22/2019
138-17-5109,Female,Home and lifestyle,9,1/15/2019
192-98-7397,Male,Fashion accessories,1,1/8/2019
301-11-9629,Female,Sports and travel,7,1/15/2019
390-80-5128,Female,Health and beauty,1,1/28/2019
235-46-8343,Male,Food and beverages,10,2/14/2019
453-12-7053,Male,Fashion accessories,3,3/10/2019
296-11-7041,Female,Health and beauty,1,1/12/2019
449-27-2918,Female,Sports and travel,1,3/26/2019
891-01-7034,Female,Electronic accessories,6,1/1/2019
744-09-5786,Male,Electronic accessories,6,1/2/2019
727-17-0390,Female,Food and beverages,5,3/16/2019
568-88-3448,Male,Health and beauty,1,3/3/2019
187-83-5490,Male,Electronic accessories,4,1/31/2019
767-54-1907,Female,Fashion accessories,5,2/13/2019
710-46-4433,Female,Food and beverages,9,2/15/2019
533-33-5337,Male,Electronic accessories,10,2/7/2019
325-90-8763,Female,Electronic accessories,10,1/27/2019
729-46-7422,Male,Food and beverages,1,2/23/2019
639-76-1242,Male,Food and beverages,5,2/3/2019
234-03-4040,Female,Food and beverages,10,3/3/2019
326-71-2155,Female,Sports and travel,4,2/3/2019
320-32-8842,Female,Food and beverages,1,3/17/2019
470-32-9057,Male,Food and beverages,5,3/28/2019
878-30-2331,Female,Sports and travel,10,3/2/2019
440-59-5691,Female,Health and beauty,7,2/8/2019
554-53-3790,Male,Sports and travel,6,3/22/2019
746-19-0921,Male,Food and beverages,1,2/9/2019
233-34-0817,Female,Electronic accessories,1,2/15/2019
767-05-1286,Female,Home and lifestyle,6,1/23/2019
340-21-9136,Female,Sports and travel,4,1/25/2019
405-31-3305,Male,Fashion accessories,10,2/2/2019
731-59-7531,Male,Health and beauty,8,3/30/2019
676-39-6028,Female,Electronic accessories,5,3/30/2019
502-05-1910,Male,Health and beauty,3,2/25/2019
485-30-8700,Female,Sports and travel,5,3/18/2019
598-47-9715,Male,Electronic accessories,4,3/7/2019
701-69-8742,Male,Sports and travel,10,3/16/2019
575-67-1508,Male,Electronic accessories,1,1/29/2019
541-08-3113,Male,Food and beverages,8,2/2/2019
246-11-3901,Female,Electronic accessories,10,2/15/2019
674-15-9296,Male,Sports and travel,5,1/8/2019
305-18-3552,Male,Home and lifestyle,10,2/12/2019
493-65-6248,Female,Sports and travel,10,1/1/2019
438-01-4015,Female,Sports and travel,4,3/21/2019
709-58-4068,Female,Fashion accessories,10,2/28/2019
795-49-7276,Male,Fashion accessories,4,3/23/2019
556-72-8512,Male,Home and lifestyle,1,1/30/2019
627-95-3243,Female,Home and lifestyle,9,2/4/2019
686-41-0932,Female,Fashion accessories,2,3/13/2019
510-09-5628,Female,Fashion accessories,10,3/15/2019
608-04-3797,Female,Health and beauty,8,3/5/2019
148-82-2527,Female,Home and lifestyle,10,3/5/2019
437-53-3084,Male,Fashion accessories,2,2/26/2019
632-32-4574,Male,Sports and travel,8,3/20/2019
556-97-7101,Female,Electronic accessories,2,1/1/2019
862-59-8517,Female,Food and beverages,6,1/27/2019
401-18-8016,Female,Sports and travel,1,1/21/2019
420-18-8989,Female,Sports and travel,8,2/2/2019
277-63-2961,Male,Sports and travel,1,2/3/2019
573-98-8548,Female,Fashion accessories,1,1/5/2019
620-02-2046,Male,Home and lifestyle,2,1/27/2019
282-35-2475,Female,Sports and travel,2,3/25/2019
511-54-3087,Male,Sports and travel,1,2/25/2019
726-29-6793,Male,Electronic accessories,8,1/28/2019
387-49-4215,Female,Sports and travel,3,1/8/2019
862-17-9201,Female,Food and beverages,6,1/29/2019
291-21-5991,Male,Health and beauty,5,3/29/2019
602-80-9671,Female,Home and lifestyle,6,2/9/2019
347-72-6115,Female,Sports and travel,7,1/16/2019
209-61-0206,Female,Home and lifestyle,5,1/5/2019
595-27-4851,Female,Fashion accessories,7,1/27/2019
189-52-0236,Male,Electronic accessories,7,3/14/2019
503-07-0930,Male,Sports and travel,7,2/23/2019
413-20-6708,Female,Fashion accessories,1,3/18/2019
425-85-2085,Male,Health and beauty,5,3/29/2019
521-18-7827,Male,Home and lifestyle,5,1/22/2019
220-28-1851,Male,Home and lifestyle,2,3/1/2019
600-38-9738,Male,Sports and travel,5,1/17/2019
734-91-1155,Female,Electronic accessories,3,3/26/2019
451-28-5717,Female,Home and lifestyle,6,3/20/2019
609-81-8548,Female,Home and lifestyle,6,2/6/2019
